age,income,credit_score,years_employed,default
64.0,73380.19865133474,657,15,0
33.0,34120.40975904378,487,12,0
70.0,50947.4818896076,621,34,1
22.0,54939.73677727664,749,10,0
52.0,55922.386166115524,773,20,0
,41281.472403757514,312,10,0
42.0,36567.35896782353,483,29,0
69.0,41498.072404308514,410,34,1
76.0,57924.881513154236,807,21,0
38.0,47842.313436320546,589,37,1
53.0,,594,30,1
70.0,57155.0557909261,750,13,1
40.0,15846.30952850588,514,23,0
33.0,,326,31,1
74.0,83756.82151724405,530,35,0
56.0,69879.03576557497,620,31,0
62.0,56330.19741060453,532,14,0
70.0,34109.11804295084,736,34,0
59.0,57163.30574188469,832,2,0
75.0,61096.24909817388,702,15,1
56.0,46193.79978758624,352,4,1
31.0,54751.130882066565,612,20,0
48.0,72644.9368759406,580,9,1
75.0,37140.88370387411,330,18,0
22.0,34125.5059256131,636,24,1
52.0,60390.48988991319,482,3,1
40.0,56863.13954297121,322,28,1
46.0,65432.57443119217,843,18,1
60.0,58546.90717855655,745,1,1
28.0,41483.6740523871,373,9,0
35.0,56482.88977198107,309,24,0
64.0,32868.101850557396,783,19,1
29.0,,755,18,0
26.0,57541.98846449606,459,22,1
27.0,44592.286749141655,313,23,0
75.0,87020.78273344741,477,10,1
61.0,21617.236267644996,711,33,1
34.0,41787.64464501784,352,27,1
78.0,35933.30249195134,707,4,0
55.0,39494.7678881307,321,4,0
24.0,40355.02664778682,329,20,1
63.0,30103.689697115104,559,11,1
30.0,61290.53222858941,504,3,0
57.0,41793.570539193475,358,19,0
59.0,52453.60003382982,770,37,0
26.0,43477.61357134632,765,24,0
67.0,39636.79381570686,311,13,0
44.0,75084.18854130275,589,10,1
75.0,63843.98273314112,653,31,0
19.0,21976.99400067283,374,10,1
22.0,20387.938274961696,740,17,1
46.0,65639.1325345473,540,26,0
54.0,42202.19912676869,453,17,0
55.0,25263.76499098666,395,22,1
36.0,65686.02698810512,593,10,0
25.0,52536.860751486354,508,20,1
65.0,53773.56627248479,642,4,0
62.0,,387,22,0
18.0,30350.342625764097,689,24,0
39.0,25527.48767923753,624,9,1
69.0,73714.31442354803,456,21,0
34.0,28442.498588865612,436,18,1
24.0,31666.43304386654,727,0,0
42.0,34663.46930681351,751,6,1
62.0,81199.18885535783,440,3,0
21.0,57400.74950617284,382,0,1
53.0,64481.119616530705,476,14,1
23.0,52942.51318368093,497,39,1
77.0,40971.691831981494,720,11,1
48.0,59469.36924890252,700,21,1
36.0,26650.76043804795,770,21,1
78.0,33570.74821855257,517,16,0
61.0,60994.62768892222,474,28,1
71.0,29641.1715375983,322,13,1
56.0,47163.7779625719,534,19,1
44.0,47847.314834668825,312,32,0
27.0,42070.06994994257,400,14,0
,,835,11,0
36.0,40566.06663216961,822,39,1
56.0,37625.47434601272,751,19,0
79.0,52421.59794931548,730,29,0
20.0,51657.35808049203,832,37,1
62.0,55669.42189905311,592,2,1
30.0,39860.205905384035,400,27,0
67.0,57841.669256988374,801,25,1
45.0,26659.899008394754,603,29,1
79.0,22671.429010214688,839,12,1
75.0,14966.409137500581,654,12,1
37.0,42510.54140642004,602,1,0
45.0,38700.52663492164,795,36,1
25.0,61839.734177819,526,37,0
78.0,40270.06119426695,535,1,0
58.0,54100.645219164006,754,35,0
56.0,62199.448648746155,312,25,0
18.0,39705.213865263264,509,10,1
20.0,54470.78315160763,696,7,1
30.0,65028.91323432792,399,39,1
45.0,31427.55837791649,330,21,0
79.0,50372.785073669664,827,19,0
74.0,39769.48425201028,628,7,0
77.0,,465,28,1
66.0,26953.223892646565,758,39,0
42.0,32140.27141731949,399,25,1
73.0,50900.43508628019,472,29,1
50.0,25837.3331665738,461,16,1
55.0,41739.094638670445,562,19,1
70.0,62197.91610279346,573,15,0
23.0,56735.164451284036,302,6,1
75.0,42042.38565592765,327,15,0
61.0,75345.35620038086,625,26,1
62.0,78395.54620867492,448,22,0
49.0,50391.836473095886,839,23,0
,12971.856261735375,787,8,1
78.0,63296.722955243895,737,34,1
64.0,15590.354899496218,364,19,1
38.0,,655,36,0
33.0,66253.77351113448,832,16,1
71.0,76613.1875620703,551,30,1
38.0,53903.9833755159,534,7,0
28.0,44579.21349227243,526,14,1
77.0,43248.48299464664,824,30,0
54.0,41806.09743453654,612,29,1
,64716.02980512054,348,19,0
52.0,60684.07234258817,417,38,0
36.0,51803.384501513196,353,11,1
37.0,39167.28038109542,343,16,0
74.0,89438.18946950408,352,29,1
35.0,63685.619209443044,824,28,1
64.0,26034.321203398868,401,18,0
,42256.1597609431,697,10,1
66.0,63976.64146113058,437,33,0
31.0,38006.91618150974,686,6,0
32.0,55273.219382388335,410,33,0
48.0,64261.94450504222,316,19,0
18.0,-826.4212398458985,481,37,0
70.0,48379.43450316125,835,23,0
71.0,48968.137303476826,840,9,0
71.0,,470,31,0
20.0,54525.42702419061,708,14,1
33.0,59862.79411243812,677,36,1
40.0,52130.764164869135,487,19,0
74.0,,529,2,1
28.0,59489.319496764045,418,36,1
29.0,50735.801139115356,455,39,1
27.0,46539.493802067824,764,7,1
49.0,30315.809219916213,403,39,1
33.0,26560.178221008824,801,22,1
25.0,30031.553109288943,474,39,0
55.0,54174.93591830322,720,10,1
29.0,48813.818785904725,433,7,1
41.0,27795.738526888053,690,28,1
45.0,59688.767386907166,800,29,1
70.0,70614.64269768643,332,9,0
25.0,41022.595749254964,354,38,0
75.0,23885.27213947439,818,27,0
45.0,39363.10422647131,311,35,0
53.0,62816.90940192041,827,12,1
43.0,58227.94787802161,672,31,0
25.0,36163.50970982782,783,35,0
75.0,72817.58206647114,527,36,0
77.0,70224.20098889599,606,25,0
67.0,39004.90905085039,756,21,1
45.0,38850.6499555255,459,3,0
45.0,41107.580939307656,630,30,1
54.0,42390.00836917181,524,17,0
58.0,64258.070118926655,803,37,1
,56379.93590714891,755,23,1
44.0,63156.18154025881,344,22,0
71.0,60103.4771478005,513,21,0
34.0,75717.90602290598,358,1,0
26.0,34109.216842862894,494,30,0
50.0,55705.37795575874,788,10,1
70.0,17392.681156479535,456,27,1
37.0,30245.666388547124,525,31,0
30.0,48877.19921097729,711,4,0
45.0,56273.09919131804,504,37,1
65.0,48472.76386955646,378,9,0
46.0,41492.11371780983,423,39,1
30.0,44158.731837604435,770,23,0
63.0,70541.61464636156,517,34,1
52.0,44239.51733179789,815,22,1
78.0,76238.62433065292,403,16,1
23.0,61910.256103117004,692,0,1
35.0,,733,30,1
68.0,32096.046345185066,630,30,0
22.0,64028.5724209944,442,33,1
64.0,42593.44133377251,839,8,0
42.0,32083.403629914505,577,21,1
19.0,57692.65419619066,532,12,1
27.0,29180.809091501906,828,24,0
73.0,38566.37806805626,389,17,0
47.0,,791,11,0
67.0,83276.32136172091,498,39,0
76.0,39696.26366311269,661,16,1
62.0,43126.752210491366,740,14,0
22.0,,325,14,1
72.0,31425.56467435931,324,14,0
73.0,56642.09571531373,693,38,0
50.0,68088.90211424882,806,12,1
71.0,45393.57672933348,600,16,1
18.0,65392.31422095298,638,31,0
35.0,54371.74884817709,566,8,1
49.0,39039.77054294329,760,39,1
64.0,47032.9297115524,755,19,1
66.0,44303.639900296366,659,25,1
